Locality,Site,Point.ID,Observer,Recorder,Date,Visit,Time.1,Time.2,Time.3,Time.4,X.coordinate,Y.coordinate,Wind.speed,Wind.direction,Sky,Comment,,
Repœblica Dominicana ,La Salcedoa ,0012-1,HEA,HEA,02/08/15,1,7:11,7:14,7:18,7:21,19.5227660,-70.5227660,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0013-1,HEA,HEA,02/09/15,1,8:16,8:19,8:23,8:26,19.5218840,-70.3351460,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0014-1,HEA,HEA,02/09/15,1,9:20,9:23,9:27,9:30,19.5220530,-70.3306972,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0015 -1,HEA,HEA,02/09/15,1,16:00,16:03,16:07,16:10,19.519997,-70.3398475,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0016-1,HEA,HEA,02/09/15,1,17:08,17:11,17:15,17:18,19.51814,-70.34050875,2,S,1,,,
Repœblica Dominicana ,La Salcedoa ,0017-1,HEA,HEA,02/10/15,1,18:12,18:15,18:19,18:21,19.5177120,-70.34050875,2,NW,2,,,
Repœblica Dominicana ,La Salcedoa ,0018-1,HEA,HEA,02/10/15,1,6:50,6:53,6:57,7:00,19.498298,-70.32959777,1,E,0,,,
Repœblica Dominicana ,La Salcedoa ,0019-1,HEA,HEA,02/10/15,1,7:40,7:43,7:47,7:50,19.495701,-70.3313773,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0020-1,HEA,HEA,02/10/15,1,8:38,8:41,8:45,8:48,19.493508,-70.33344592,2,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0021-1,HEA,HEA,02/10/15,1,9:34,9:37,9:41,9:44,19.496732,-70.33488245,2,E,0,,,
Repœblica Dominicana ,La Salcedoa ,0022-1,HEA,HEA,02/10/15,1,16:40,16:43,16:47,16:50,19.493148,-70.32960334,2,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0022-2,HEA,HEA,02/11/15,1,6:40,6:43,6:47,6:50,19.496933,-70.33335011,2,E,2,,,
Repœblica Dominicana ,La Salcedoa ,0023-1,HEA,HEA,02/11/15,1,7:36,7:39,7:43,7:46,19.490293,-70.32953239,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0024-1,HEA,HEA,02/11/15,1,8:30,8:33,8:37,8:40,19.490875,70.33275743,2,S,2,,,
Repœblica Dominicana ,La Salcedoa ,0025-1,HEA,HEA,02/11/15,1,9:17,9:20,9:24,9:27,19.489869,-70.33564553,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0026-1,HEA,HEA,02/11/15,1,17:09,17:12,17:16,17:19,19.48813,-70.33100101,2,N,4,,,
Repœblica Dominicana ,La Salcedoa ,0027-1,HEA,HEA,02/11/15,1,16:30,16:33,16:37,16:40,19.48634,-70.33423519,1,S,2,,,
Repœblica Dominicana ,La Salcedoa ,0028-1,HEA,HEA,02/11/15,1,16:00,16:03,16:07,16:10,19.486621,-70.24101226,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0029-1,HEA,HEA,02/12/15,1,6:50,6:53,6:57,7:00,19.484451,-70.3315235,2,S,0,,,
Repœblica Dominicana ,La salcedoa ,0030-1,HEA,HEA,02/13/15,1,7:30,7:33,7:37,7:40,19.481999,-70.33189406,1,E,0,,,
Repœblica Dominicana ,La salcedoa ,0031-1,HEA,HEA,02/14/15,1,8:20,8:23,8:27,8:30,19.47966,-70.33257995,1,NE,1,,,
Repœblica Dominicana ,La salcedoa ,0032-1,HEA,HEA,02/12/15,1,9:09,9:12,9:16,9:19,19.480816,-70.33428516,1,NE,0,,,
Repœblica Dominicana ,La salcedoa ,0033-1,HEA,HEA,02/13/15,1,9:45,9:48,9:52,9:55,19.48216,-70.33781164,2,NE,1,,,
Repœblica Dominicana ,La salcedoa ,0034-1,HEA,HEA,02/14/15,1,16:00,16:03,16:07,16:10,19.484356,-70.3394302,1,NE,2,,,
Repœblica Dominicana ,La salcedoa ,0035-1,HEA,HEA,02/12/15,1,16:49,16:52,16:56,16:59,19.490865,-70.33901689,0,N/A,2,,,
Repœblica Dominicana ,La salcedoa ,0036-1,HEA,HEA,02/13/15,1,18:13,18:16,18:20,18:23,19.495021,-70.32919942,1,NE,2,,,
Repœblica Dominicana ,La salcedoa ,0037-1,HEA,HEA,02/14/15,1,6:41,6:44,6:48,6:51,19.515716,-70.33349455,1,W,2,,,
Repœblica Dominicana ,La salcedoa ,0038-1,HEA,HEA,02/13/2015,1,7:35,7:38,7:42,7:45,19.514499,-70.33072119,1,E,0,,,
Repœblica Dominicana ,La Salcedoa ,0039-1,JD,HEA,02/13/2015,1,8:31,8:34,8:38,8:41,19.515247,-70.32858331,2,W,2,,,
Repœblica Dominicana ,La Salcedoa ,0040-1,HEA,HEA,02/13/2015,1,9:40,9:43,9:07,9:10,19.512865,-70.33170834,2,S,0,,,
Repœblica Dominicana ,La Salcedoa ,0041-1,HEA,HEA,02/13/2015,1,16:38,16:41,16:45,16:48,19.502698,-70.32838553,1,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0042-1,HEA,HEA,02/13/2015,1,18:00,18:03,18:07,18:10,19.509851,-70.33243642,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0029-4,FM,FM,09/02/15,1,15:30,15:33,15:37,15:40,19.515136,-70.3300784,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0069-1,HEA,HEA,02/08/15,1,16:00,16:03,16:07,16:10,19.5110620,-70.3335898,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0070-1,FM,HEA,02/08/15,1,17:37,17:40,17:44,18:37,19.5104770,-70.3357480,1,NE,4,,,
Repœblica Dominicana ,La Salcedoa ,0071-1,HEA,FM,02/08/15,1,18:36,18:39,18:43,18:46,19.5064440,-70.5064440,2,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0074-1,FM,FM,02/09/15,1,7:05,7:08.30,7:12,7:15,19.521097,-70.34260098,2,NW,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0075-1,FM,FM,02/09/15,1,14:25,14:28,14:32,14:35,19.518932,-70.3409250,2,E,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0081-1,FM,FM,02/09/15,1,16:27,16:30,16:34,16:37,19.518456,-70.33082981,2,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0084-1,FM,FM,02/10/15,1,16:07,16:10,16:14,16:17,19.515149,-70.33573871,2,SW,0,,,
Repœblica Dominicana ,La Salcedoa ,0085-1,FM,FM,02/10/15,1,17:12,17:15,17:19,17:22,19.516898,-70.33620094,2,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0086-1,FM,FM,02/11/15,1,7:25,7:28,7:32,7:35,19.516982,-70.34071837,2,E,2,,,
Repœblica Dominicana ,La Salcedoa ,0087-1,FM,FM,02/11/15,1,8:10,8:13,8:17,8:20,19.514835,-70.34029092,2,E,1,,,
Repœblica Dominicana ,La Salcedoa ,0088-1,FM,FM,02/11/15,1,9:30,9:33,9:37,9:40,19.514909,-70.33643234,2,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0089-1,FM,FM,02/11/15,1,15:35,15:38,15:42,15:45,19.512791,-70.33929262,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0090-1,FM,FM,02/11/15,1,16:40,16:43,16:47,16:50,19.512801,-70.33916883,2,SE,2,,,
Repœblica Dominicana ,La Salcedoa ,0099-1,FM,FM,02/11/15,1,6:45,6:48,6:52,6:55,19.5093570,-70.3405698,2,N,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0100-1,FM,FM,02/12/15,1,7:40,7:43,7:47,7:50,19.508219,-70.34300918,2,E,0,,,
Repœblica Dominicana ,La Salcedoa ,0101-1,FM,FM,02/12/15,1,8:20,8:23,8:27,8:30,19.508254,-70.34558216,2,W,0,,,
Repœblica Dominicana ,La Salcedoa ,0102-1,FM,FM,02/12/15,1,9:10,9:13,9:17,9:20,19.50747,-70.34779579,2,SE,0,,,
Repœblica Dominicana ,La Salcedoa ,0103-1,FM,FM,02/12/15,1,15:10,15:13,15:17,15:20,19.503357,-70.3467422,2,E,2,,,
Repœblica Dominicana ,La Salcedoa ,0104-1,FM,FM,02/12/15,1,15:45,15:48,15:52,15:55,19.5029470,-70.34354688,2,S,2,,,
Repœblica Dominicana ,La Salcedoa ,0105-1,FM,FM,02/13/2015,1,6:38,6:41,6:45,6:48,19.507346,-70.3339405,2,W,2,,,
Repœblica Dominicana ,La Salcedoa ,0106-1,FM,FM,02/13/2015,1,7:25,7:28,7:32,7:35,19.505608,-70.3368895,2,E,4,,,
Repœblica Dominicana ,La Salcedoa ,0107-1,FM,FM,02/13/2015,1,8:15,8:18,8:22,8:25,19.503523,-70.33779661,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0108-1,FM,FM,02/13/15,1,8:58,9:01,9:05,9:08,19.503271,-70.33761351,2,N/A,0,,,
Repœblica Dominicana ,La Salcedoa ,0110-1,FM,FM,02/13/2015,1,16:10,16:13,16:17,16:20,19.498219,-70.33790545,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0111-1,FM,FM,02/13/2015,1,16:50,16:53,16:57,17:00,19.4982280,-70.33784836,2,W,2,,,
Repœblica Dominicana ,La Salcedoa ,0112-1,FM,FM,02/13/2015,1,17:35,17:38,17:42,17:45,19.500328,-70.33617916,2,E,2,,,
Repœblica Dominicana ,La Salcedoa ,0114-1,FM,FM,02/14/2015,1,7:00,7:03,7:07,7:10,19.501183,-70.33783454,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0115-1,FM,FM,02/14/2015,1,7:45,7:48,7:52,7:55,19.500555,-70.3396016,2,W,1,,,
Repœblica Dominicana ,La Salcedoa ,0116-1,FM,FM,02/14/2015,1,9:00,9:03,9:07,9:10,19.498989,-70.33881694,2,W,1,,,
Repœblica Dominicana ,La Salcedoa ,0001-2,HEA,HEA,03/O7/2015,1,6:30,6:33,6:37,6:40,19.482397,-70.3538093,1,N,2,482397,,
Repœblica Dominicana ,La Salcedoa ,0002-2,HEA,FM,03/O7/2015,1,7:21,7:24,7:29,7:31,19.4801670,-70.35233316,1,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0003-2,HEA,HEA,03/O7/2015,1,8:08,8:11,8:15,8:18,19.472414,-70.3597279,2,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0004-2,HEA,HEA,03/O7/2015,1,9:10,9:13,9:17,9:20,19.475113,-70.35039544,2,N,2,The wind speed was 4 during the last census ,,
Repœblica Dominicana ,La Salcedoa ,0005-2,JD,HEA,03/O7/2015,1,9:44,9:47,9:51,9:54,19.473261,-70.3527712,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0006-2,FM,FM,03/O7/2015,1,17:35,17:38,17:42,17:45,19.4781259,-70.3476100,1,SE,0,,,
Repœblica Dominicana ,La Salcedoa ,0007-2,FM,FM,03/O7/2015,1,16:55,16:58,17:02,17:05,19.4781259,-70.34761003,1,N/A,1,,,imposible 
Repœblica Dominicana ,La Salcedoa ,0008-2,FM,FM,03/O7/2015,1,16:28,16:31,16:35,16:38,19.475037,-70.3484228,1,W,1,,,
Repœblica Dominicana ,La Salcedoa ,0009-2,FM,FM,03/O7/2015,1,16:00,16:03,16:07,16:10,19.482726,-70.34724796,1,SE,0,,,
Repœblica Dominicana ,La Salcedoa ,0010-2,HEA,HEA,03/O7/2015,1,16:10,16:13,16:17,16:20,19.481046,-70.34724796,1,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0011-2,HEA,HEA,03/O7/2015,1,16:42,16:45,16:49,16:52,19.484965,-70.3524111,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0012-2,HEA,HEA,03/O7/2015,1,17:30,17:33,17:37,17:40,19.484114,-70.3549668,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0013-2,HEA,HEA,03/O7/2015,1,18:00,18:03,18:07,18:10,19.485914,-70.3571349,1,W,2,,,
Repœblica Dominicana ,La Salcedoa ,0014-2,HEA,HEA,03/08/15,1,6:30,6:33,6:37,6:40,19.491006,-70.36841013,0,N/A,0,,,
Repœblica Dominicana ,La Salcedoa ,0015-2,HEA,HEA,03/08/15,1,7:13,7:16,7:20,7:23,19.491947,-70.37067603,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0016-2,FM,HEA,03/08/15,1,7:53,7:56,8:00,8:03,19.49498,-70.37220693,1,NE,1,,,
Repœblica Dominicana ,La Salcedoa ,0017-2,FM,HEA,03/08/15,1,8:42,8:45,8:49,8:52,19.498168,-70.37243389,1,N,0,,,
Repœblica Dominicana ,La Salcedoa ,0018-2,HEA,HEA,03/08/15,1,9:24,9:27,9:31,9:34,19.500403,-70.37194776,1,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0019-2,FM,FM,03/08/15,1,17:37,17:40,17:44,17:47,19.486766,-70.36043839,1,E,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0019-3,HEA,HEA,03/08/15,1,16:00,16:03,16:07,16:10,19.474031,-70.36223733,2,NE,1,,,
Repœblica Dominicana ,La Salcedoa ,0020-2,HEA,HEA,03/08/15,1,16:42,16:45,16:49,16:52,19.472414,-70.35972792,2,NE,0,The wind speed was 3 during the last census; no census ,,
Repœblica Dominicana ,La Salcedoa ,0020-3,FM,FM,03/08/15,1,17:10,17:14,17:17,17:21,19.488261,-70.41870936,2,SE,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0021-2,FM,FM,03/08/15,1,16:40,16:43,16:47,16:50,19.489208,-70.36371712,1,E,0,,,
Repœblica Dominicana ,La Salcedoa ,0021-3,HEA,HEA,03/08/15,1,17:16,17:19,17:23,17:26,19.475018,-70.35821589,2,NE,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0022-3,HEA,HEA,03/08/15,1,17:50,17:53,17:57,18:00,19.477009,-70.35779426,1,E,1,,,
Repœblica Dominicana,La Salcedoa ,0022-4,FM,FM,03/08/15,1,16:12,16:15,16:19,16:22,19.489514,-70.3661777,1,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0023-2,HEA,HEA,03/08/15,1,18:18,18:21,18:25,18:28,19.478696,-70.35938975,2,E,0,"The wind speed was variable during the time 3 and 4; wind speed between 3 and 4, but it stabilized at the beginning of time 4 ",,
Repœblica Dominicana ,La Salcedoa ,0024-2,HEA,HEA,03/08/15,1,18:50,18:53,18:57,19:00,19.479628,-70.35681578,2,S,2,,,
Repœblica Dominicana ,La Salcedoa ,0025-2,HEA,HEA,03/09/15,1,7:24,7:27,7:31,7:34,19.489879,-70.35128004,2,N,2,,,
Repœblica Dominicana,La Salcedoa ,0026-3,HEA,HEA,03/09/15,1,8:08,8:11,8:15,8:18,19.491739,-70.35262933,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0026-2,FM,FM,03/09/15,1,7:55,7:58,8:02,8:05,19.471088,-70.3581736,2,E,2,,,
Repœblica Dominicana ,La Salcedoa ,0027-2,FM,FM,03/09/15,1,7:37,7:40,7:44,7:47,19.470102,-70.36079462,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0027-3,HEA,HEA,03/09/15,1,8:53,8:56,9:00,9:03,19.495735,-70.35229095,2,N,5,,,
Repœblica Dominicana ,La Salcedoa ,0028-2,FM,FM,03/09/15,1,8:42,8:45,8:49,8:52,19.472364,-70.3639191,1,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0028-3,HEA,HEA,03/09/15,1,9:30,9:33,9:37,9:40,19.498353,-70.34894937,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0029-2,FM,FM,03/09/15,1,9:20,9:23,9:27,9:30,19.473443,-70.3659191,1,SE,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0029-3,HEA,HEA,03/09/15,1,9:45,9:47,9:52,9:55,19.497621,-70.34663756,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0030-2,HEA,HEA,03/09/15,1,16:10,16:13,16:17,16:20,19.490415,-70.3423954,2,N,2,Wind speed variable. It was 3 in the last time ,,
Repœblica Dominicana ,La Salcedoa ,0031-2,HEA,HEA,03/09/15,1,17:09,17:12,17:16,17:19,19.492338,-70.3438404,1,N,N/A,,,
Repœblica Dominicana ,La Salcedoa ,0032-2,HEA,HEA,03/09/15,1,17:51,17:54,17:58,18:01,19.491348,-70.34571868,1,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0033-2,HEA,HEA,03/09/15,1,18:22,18:25,18:29,18:22,19.49165,-70.34870328,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0038-2,HEA,HEA,03/10/15,1,18:22,18:25,18:29,18:32,19.475079,-70.36935282,2,E,0,Wind speed variable just 30 second of census in the time four,,
Repœblica Dominicana ,La Salcedoa ,0035-2,HEA,HEA,03/09/15,1,18:50,18:53,18:57,19:00,19.488284,-70.35437269,2,NE,N/A,Wind speed variable. It was 3 in the last time ,,
Repœblica Dominicana,La Salcedoa ,0036-2,HEA,HEA,03/10/15,1,9:43,9:46,9:50,9:53,19.474179,-70.37607088,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0037-2,HEA,HEA,03/12/15,1,18:45,18:48,18:52,18:55,19.474394,-70.3716048,2,E,0,The wind speed was 3 in the time four; no census ,,
Repœblica Dominicana ,La Salcedoa ,0039-2,FM,HEA,03/10/15,1,17:57,18:00:30 PM,18:04,18:07,19.475041,-70.36718048,2,E,1,The wind speed was 3 in the time four; no census ,,
Repœblica Dominicana ,La Salcedoa ,0040-2,HEA,HEA,03/12/15,1,16:36,16:39,16:43,16:46,19.480537,-70.36810305,2,E,1,Wind speed variable between 2 and 3 during time four,,
Repœblica Dominicana ,La Salcedoa ,0041-2,HEA,HEA,03/12/15,1,17:28,17:31,17:35,17:38,19.476691,-70.36414582,1,NE,1,,,
Repœblica Dominicana ,La Salcedoa ,0042-2,HEA,HEA,03/12/15,1,17:03,17:06,17:10,17:13,19.478203,-70.36612097,1,NE,1,Variable wind during the time three and four ,,
Repœblica Dominicana ,La Salcedoa ,0043-1,HEA,HEA,03/12/15,1,17:40,17:43,17:47,17:50,19.476125,-70.37805928,2,E,1,Variable wind during the entire census. In the time four only 30 second of census ,,
Repœblica Dominicana ,La Salcedoa ,0044-1,HEA,HEA,03/12/15,1,6:51,6:54,6:58,7:01,19.476042,-70.38057357,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0045-1,HEA,HEA,03/11/15,1,7:28,7:31,7:35,7:38,19.474033,-70.38097571,2,E,4,No census during time four; wind speed equal three,,
Repœblica Dominicana ,La Salcedoa ,0046-1,HEA,HEA,03/11/15,1,8:05,8:08,8:12,8:15,19.47293,-70.37879437,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0047-1,HEA,HEA,03/11/15,1,8:57,9:00,9:04,9:07,19.472688,-70.37606781,2,N,5,,,
Repœblica Dominicana ,La Salcedoa ,0048-1,HEA,HEA,03/11/15,1,9:40,9:43,9:47,9:50,19.472311,-70.37345443,2,N,2,,,
Repœblica Dominicana ,La salcedoa ,0049-1,JD,JD,03/11/15,1,18:46,18:49,18:53,18:56,19.482677,-70.3789626,1,N,5,,,
Repœblica Dominicana,La Salcedoa ,0050-1,HEA,FM,03/11/15,1,18:09,18:11,18:16,18:19,19.484751,-70.3783609,1,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0051-1,HEA,HEA,03/11/15,1,17:46,17:49,17:53,17:56,19.487092,-70.3770850,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0052-1,HEA,HEA,03/11/15,1,16:06,16:09,16:13,16:16,19.489483,-70.37633354,2,S,2,,,
Repœblica Dominicana ,La Salcedoa ,0053-1,HEA,HEA,03/11/15,1,17:03,17:06,17:10,17:13,19.49311,-70.37697396,2,NE,5,,,
Repœblica Dominicana ,La Salcedoa ,0054-1,HEA,HEA,03/12/15,1,9:44,9:47,9:51,9:54,19.4888200,-70.37914799,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0055-1,HEA,HEA,03/12/15,1,16:00,16:03,16:07,16:10,19.4815120,-70.37063584,2,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0056-1,HEA,HEA,03/13/2015,1,6:52,6:55,6:59,7:02,19.47649,-70.37509011,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0057-1,HEA,HEA,03/13/2015,1,7:42,7:45,7:49,7:52,19.48821,-70.3738076,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0058-1,HEA,HEA,03/13/15,1,8:46,8:49,8:53,8:56,19.480587,-70.37342893,0,N/A,2,,,
Repœblica Dominicana,La Salcedoa ,0059-1,HEA,HEA,03/13/15,1,9:40,9:43,9:47,9:50,19.4825300,-70.3757699,0,N/A,5,,,
Repœblica Dominicana ,La Salcedoa ,0060-1,HEA,HEA,03/13/15,1,18:20,18:23,18:27,18:30,19.494873,-70.3744545,1,NE,1,,,
Repœblica Dominicana ,La Salcedoa ,0061-1,HEA,HEA,03/13/15,1,17:36,17:39,17:43,17:46,19.5030960,-70.37186566,0,N/A,2,,,
Repœblica Dominicana ,La Salcedoa ,0062-1,HEA,HEA,03/13/15,1,17:10,17:13,17:17,17:20,19.505853,-70.37292748,2,NE,5,,,
Repœblica Dominicana,La Salcedoa ,0063-1,HEA,HEA,03/13/15,1,16:33,16:36,16:40,16:43,19.507897,-70.37388804,1,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0064-1,HEA,HEA,03/13/15,1,16:00,16:03,16:07,16:10,19.510743,-70.37150136,2,NE,2,,,
Repœblica Dominicana ,La Salcedoa ,0065-1,HEA,HEA,03/14/2015,1,7:05,7:08,7:12,7:15,19.484368,-70.38119669,2,SE,2,,,
Repœblica Dominicana ,La Salcedoa ,0066-1,FM,FM,03/14/15,1,18:25,18:28,18:32,18:35,19.487512,-70.37996578,2,NE,0,,,
Repœblica Dominicana ,La Salcedoa ,0067-1,FM,FM,03/14/15,1,18:50,18:53,18:57,17:00,19.491409,-70.38088484,1,N/A,0,,,
Repœblica Dominicana ,La Salcedoa ,0068-1,FM,FM,03/14/15,1,17:37,17:40,17:44,17:47,19.495402,-70.37972777,2,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0069-1,HEA,HEA,03/14/15,1,17:09,17:12,17:16,17:19,19.496666,-70.37749948,2,E,1,,,
Repœblica Dominicana ,La Salcedoa ,0070-1,HEA,HEA,03/14/15,1,16:30,16:33,16:37,16:40,19.498517,-70.37881092,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0071-1,HEA,HEA,03/14/15,1,16:00,16:03,16:07,16:10,19.497228,-70.3807246,2,N,1,,,
Repœblica Dominicana ,La Salcedoa ,0072-1,HEA,HEA,03/15/2015,1,6:36,6:39,6:43,6:46,19.46741,-70.35356095,1,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0073-1,HEA,HEA,03/15/15,1,7:21,7:24,7:28,7:31,19.469863,-70.35525793,2,N,4,,,
Repœblica Dominicana ,La Salcedoa ,0074-1,HEA,HEA,03/15/15,1,8:32,8:35,8:39.00,8:42,19.471291,-70.35045903,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0075-1,HEA,HEA,03/15/15,1,9:29,9:32,9:36,9:39,19.472529,-70.34793528,2,N,2,,,
Repœblica Dominicana ,La Salcedoa ,0076-1,HEA,HEA,03/15/15,1,16:00,16:03,16:07,16:10,19.476476,-70.34323322,1,W,1,,,
Repœblica Dominicana,La Salcedoa ,0077-1,HEA,HEA,03/15/15,1,16:30,16:33,16:37,16:40,19.475392,-70.33960419,2,E,1,,,
Repœblica Dominicana ,La Salcedoa ,0078-1,HEA,HEA,03/15/15,1,17:13,17:16,17:20,17:23,19.47887,-70.33718442,2,E,1,,,
Repœblica Dominicana ,La Salcedoa ,0079-1,HEA,HEA,03/15/15,1,17:49,17:52,17:56,17:59,19.478863,-70.33447876,0,N/A,1,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
